Sample	Type	Bio_Replicate	Tech_Replicate	Syto_Counts_per_gram	CTC_Dorm	16s_Dorm	CTC16S_Dorm
C1	Control	1	1	9750000	48.20512821	35.26811455	40.84062545
C1	Control	1	2	4020500	39.73386395	35.95918367	45.28762014
C1	Control	2	1	3721000	34.99059393	34.60584081	43.96786688
C1	Control	2	2	3646500	40.3400521	28.14857806	44.05393774
C1	Control	3	1	4381500	44.07166495	39.96509599	44.08262803
C1	Control	3	2	3475500	48.81312041	29.57398642	44.42691149
C2	Control	1	1	3505000	43.75178317	25.1417004	40.69717401
C2	Control	1	2	3627500	53.65954514	30.73355818	53.32090088
C2	Control	2	1	4888000	51.13543372	35.26811455	40.84062545
C2	Control	2	2	3996000	51.12612613	35.95918367	45.28762014
C2	Control	3	1	3602500	69.90978487	34.60584081	43.96786688
C2	Control	3	2	3113500	57.989401	28.14857806	44.05393774
C3	Control	1	1	3371500	30.93578526	39.96509599	44.08262803
C3	Control	1	2	3822000	40.59392988	29.57398642	44.42691149
C3	Control	2	1	3451500	30.65333913	25.1417004	40.69717401
C3	Control	2	2	4344000	42.24217311	30.73355818	53.32090088
C3	Control	3	1	3498000	60.60606061	35.26811455	40.84062545
C3	Control	3	2	4949500	41.97393676	35.95918367	45.28762014
C4	Control	1	1	3980500	14.85994222	34.60584081	43.96786688
C4	Control	1	2	3684000	35.66775244	28.14857806	44.05393774
C4	Control	2	1	3610500	68.45312284	39.96509599	44.08262803
C4	Control	2	2	4338000	33.12586445	29.57398642	44.42691149
C4	Control	3	1	3441000	49.38971229	25.1417004	40.69717401
C4	Control	3	2	3470000	59.02017291	30.73355818	53.32090088
C5	Control	1	1	3591500	26.36781289	35.26811455	40.84062545
C5	Control	1	2	4839500	41.10961876	35.95918367	45.28762014
C5	Control	2	1	3956500	64.14760521	34.60584081	43.96786688
C5	Control	2	2	3566500	28.82377681	28.14857806	44.05393774
C5	Control	3	1	3082500	42.57907543	39.96509599	44.08262803
C5	Control	3	2	3338000	31.68064709	29.57398642	44.42691149
C6	Control	1	1	3784000	41.1205074	25.1417004	40.69717401
C6	Control	1	2	3417000	45.7126134	30.73355818	53.32090088
C6	Control	2	1	4301000	65.72890026	35.26811455	40.84062545
C6	Control	2	2	3463500	47.17771041	35.95918367	45.28762014
C6	Control	3	1	4900500	62.48342006	34.60584081	43.96786688
C6	Control	3	2	3941000	40.23090586	28.14857806	44.05393774
C7	Control	1	1	3647500	36.3536669	39.96509599	44.08262803
C7	Control	1	2	3574500	27.17862638	29.57398642	44.42691149
C7	Control	2	1	4295000	33.59720605	25.1417004	40.69717401
C7	Control	2	2	3407000	20.61931318	30.73355818	53.32090088
C7	Control	3	1	3435500	30.92708485	35.26811455	40.84062545
C7	Control	3	2	3556000	68.82733408	35.95918367	45.28762014
C8	Control	1	1	4791500	72.62861317	34.60584081	43.96786688
C8	Control	1	2	3917000	64.65407199	28.14857806	44.05393774
C8	Control	2	1	3531000	57.70320023	39.96509599	44.08262803
C8	Control	2	2	3052000	59.61664482	29.57398642	44.42691149
C8	Control	3	1	3305000	62.69288956	25.1417004	40.69717401
C8	Control	3	2	3746500	68.34378754	30.73355818	53.32090088
N1	Nutrients	1	1	3383000	75.8646172	50.08230453	53.32090088
N1	Nutrients	1	2	4258000	77.93565054	44.40544098	54.46851241
N1	Nutrients	2	1	3429000	77.20909886	40.72530221	49.70592454
N1	Nutrients	2	2	4851500	83.39688756	49.59752322	49.79199541
N1	Nutrients	3	1	3902000	78.93388006	41.53304654	50.25104002
N1	Nutrients	3	2	3611500	78.58230652	37.38370989	50.10758858
N2	Nutrients	1	1	3539000	69.85024018	39.97555012	49.30426051
N2	Nutrients	1	2	4252500	69.34744268	45.38103901	53.32090088
N2	Nutrients	2	1	3373000	80.21049511	50.08230453	54.46851241
N2	Nutrients	2	2	3401500	75.76069381	44.40544098	49.70592454
N2	Nutrients	3	1	3520500	83.73810538	40.72530221	49.79199541
N2	Nutrients	3	2	4744000	83.69519393	49.59752322	50.25104002
N3	Nutrients	1	1	3878000	78.05569881	41.53304654	50.10758858
N3	Nutrients	1	2	3496000	72.85469108	37.38370989	49.30426051
N3	Nutrients	2	1	3021500	60.43355949	39.97555012	53.32090088
N3	Nutrients	2	2	3272000	63.75305623	45.38103901	54.46851241
N3	Nutrients	3	1	3709500	82.62569079	50.08230453	49.70592454
N3	Nutrients	3	2	3349500	76.75772503	44.40544098	49.79199541
N4	Nutrients	1	1	4215500	78.51974855	40.72530221	50.25104002
N4	Nutrients	1	2	3395000	48.92488954	49.59752322	50.10758858
N4	Nutrients	2	1	4803000	83.91630231	41.53304654	49.30426051
N4	Nutrients	2	2	3863000	66.63215118	37.38370989	53.32090088
N4	Nutrients	3	1	3575500	65.71108936	39.97555012	54.46851241
N4	Nutrients	3	2	3504000	70.56221461	45.38103901	49.70592454
N5	Nutrients	1	1	4210000	70.17814727	50.08230453	49.79199541
N5	Nutrients	1	2	3339500	66.13265459	44.40544098	50.25104002
N5	Nutrients	2	1	3367500	62.0935412	40.72530221	50.10758858
N5	Nutrients	2	2	3485500	70.24817099	49.59752322	49.30426051
N5	Nutrients	3	1	4697000	73.68533106	41.53304654	53.32090088
N5	Nutrients	3	2	3839500	78.70816513	37.38370989	54.46851241
N6	Nutrients	1	1	3461500	59.41066012	39.97555012	49.70592454
N6	Nutrients	1	2	2991500	77.9709176	45.38103901	49.79199541
N6	Nutrients	2	1	3239500	64.82481864	50.08230453	50.25104002
N6	Nutrients	2	2	3672500	69.95234854	44.40544098	50.10758858
N6	Nutrients	3	1	3316500	62.58103422	40.72530221	49.30426051
N6	Nutrients	3	2	4173500	79.11824608	49.59752322	53.32090088
N7	Nutrients	1	1	3361500	64.68838316	41.53304654	54.46851241
N7	Nutrients	1	2	4755000	73.92218717	37.38370989	49.70592454
N7	Nutrients	2	1	3824500	80.21963655	39.97555012	49.79199541
N7	Nutrients	2	2	3540000	66.69491525	45.38103901	50.25104002
N7	Nutrients	3	1	3469000	42.44739118	50.08230453	50.10758858
N7	Nutrients	3	2	4168000	71.01727447	44.40544098	49.30426051
N8	Nutrients	1	1	3306500	78.72523817	40.72530221	53.32090088
N8	Nutrients	1	2	3334000	63.13737253	49.59752322	54.46851241
N8	Nutrients	2	1	3451000	56.47638366	41.53304654	49.70592454
N8	Nutrients	2	2	4650500	74.21782604	37.38370989	49.79199541
N8	Nutrients	3	1	3801500	79.36340918	39.97555012	50.25104002
N8	Nutrients	3	2	3427000	60.2859644	45.38103901	50.10758858
D1	Drought	1	1	2962000	62.10330858	51.75438596	52.34543107
D1	Drought	1	2	3207500	65.90802806	39.35622318	51.542103
D1	Drought	2	1	3636000	70.77832783	45.41405143	52.23066992
D1	Drought	2	2	3283500	78.55946399	42.65060241	50.36580118
D1	Drought	3	1	4132000	79.71926428	49.43473792	55.09969875
D1	Drought	3	2	3328000	65.73016827	39.51465201	54.4972027
D2	Drought	1	1	4800500	82.08519946	45.35752401	52.5175728
D2	Drought	1	2	3454500	67.63641627	49.39857288	52.00114761
D2	Drought	2	1	4980000	71.07429719	51.75438596	52.34543107
D2	Drought	2	2	578500	75.79948142	39.35622318	51.542103
D2	Drought	3	1	4317000	91.13968033	45.41405143	52.23066992
D2	Drought	3	2	4892000	35.88511856	42.65060241	50.36580118
D3	Drought	1	1	4354500	92.55942129	49.43473792	55.09969875
D3	Drought	1	2	4775500	90.46173176	39.51465201	54.4972027
D3	Drought	2	1	4931000	91.5737173	45.35752401	52.5175728
D3	Drought	2	2	4673000	92.68136101	49.39857288	52.00114761
D3	Drought	3	1	4348500	83.86800046	51.75438596	52.34543107
D3	Drought	3	2	4981000	52.97129091	39.35622318	51.542103
D4	Drought	1	1	3678000	25.24469821	45.41405143	52.23066992
D4	Drought	1	2	4363000	83.72679349	42.65060241	50.36580118
D4	Drought	2	1	4952500	63.52347299	49.43473792	55.09969875
D4	Drought	2	2	4721500	87.98051467	39.51465201	54.4972027
D4	Drought	3	1	3871500	81.45421671	45.35752401	52.5175728
D4	Drought	3	2	388500	73.87387387	49.39857288	52.00114761
D5	Drought	1	1	381500	29.75098296	51.75438596	52.34543107
D5	Drought	1	2	4997500	55.91795898	39.35622318	51.542103
D5	Drought	2	1	3910500	88.90167498	45.41405143	52.23066992
D5	Drought	2	2	1717500	77.03056769	42.65060241	50.36580118
D5	Drought	3	1	4995500	93.01371234	49.43473792	55.09969875
D5	Drought	3	2	4936500	91.49194774	39.51465201	54.4972027
D6	Drought	1	1	1616500	75.53356016	45.35752401	52.5175728
D6	Drought	1	2	3213500	89.54411078	49.39857288	52.00114761
D6	Drought	2	1	4413000	89.23634716	51.75438596	52.34543107
D6	Drought	2	2	4842000	70.92110698	39.35622318	51.542103
