Sample	Type	Bio_Replicate	Tech_Replicate	Syto_Counts_per_gram	CTC_Dorm	16s_Dorm	CTC16S_Dorm
D6	Drought	3	1	3092500	88.03556993	45.41405143	52.23066992
D6	Drought	3	2	760500	51.61078238	42.65060241	50.36580118
D7	Drought	1	1	2279500	83.68063172	49.43473792	55.09969875
D7	Drought	1	2	2153000	82.62888992	39.51465201	54.4972027
D7	Drought	2	1	4842500	91.81208054	45.35752401	52.5175728
D7	Drought	2	2	1663000	79.94588094	49.39857288	52.00114761
D7	Drought	3	1	4752000	61.88973064	51.75438596	52.34543107
D7	Drought	3	2	3419500	68.08012867	39.35622318	51.542103
D8	Drought	1	1	4930000	61.64300203	45.41405143	52.23066992
D8	Drought	1	2	572500	67.68558952	42.65060241	50.36580118
D8	Drought	2	1	4273500	82.95308295	49.43473792	55.09969875
D8	Drought	2	2	4843000	46.41750981	39.51465201	54.4972027
D8	Drought	3	1	4310500	78.64516877	45.35752401	52.5175728
D8	Drought	3	2	4727500	86.24008461	49.39857288	52.00114761
