OTU	C1cDNA	C1DNA	C2cDNA	C2DNA	C3cDNA	C3DNA	C4cDNA	C4DNA	C5cDNA	C5DNA	C6cDNA	C6DNA	C7cDNA	C7DNA	C8cDNA	C8DNA	D1cDNA	D1DNA	D2cDNA	D2DNA	D3cDNA	D3DNA	D4cDNA	D4DNA	D5cDNA	D5DNA	D6cDNA	D6DNA	D7cDNA	D7DNA	D8cDNA	D8DNA	N1cDNA	N1DNA	N2cDNA	N2DNA	N3cDNA	N3DNA	N4cDNA	N4DNA	N5cDNA	N5DNA	N6cDNA	N6DNA	N7cDNA	N7DNA	N8cDNA	N8DNA	taxonomy
620027	14.0	7.0	4.0	10.0	17.0	17.0	66.0	20.0	10.0	8.0	15.0	17.0	23.0	20.0	51.0	44.0	79.0	3.0	89.0	11.0	102.0	7.0	69.0	4.0	86.0	23.0	71.0	8.0	73.0	8.0	93.0	18.0	11.0	14.0	19.0	15.0	9.0	7.0	10.0	10.0	13.0	10.0	48.0	3.0	27.0	14.0	17.0	26.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__
OTU_dn_70	29.0	5.0	20.0	6.0	46.0	29.0	23.0	24.0	14.0	7.0	54.0	24.0	21.0	31.0	32.0	5.0	7.0	7.0	5.0	21.0	13.0	8.0	3.0	12.0	17.0	12.0	10.0	24.0	13.0	23.0	18.0	24.0	14.0	10.0	19.0	7.0	11.0	24.0	11.0	45.0	28.0	24.0	21.0	9.0	5.0	10.0	24.0	19.0	k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__
104646	197.0	97.0	179.0	69.0	109.0	23.0	80.0	29.0	142.0	54.0	81.0	18.0	207.0	52.0	125.0	50.0	79.0	47.0	87.0	101.0	97.0	51.0	75.0	27.0	53.0	75.0	83.0	50.0	92.0	54.0	111.0	33.0	178.0	38.0	75.0	14.0	195.0	21.0	194.0	21.0	53.0	21.0	119.0	36.0	121.0	22.0	221.0	26.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium; s__
OTU_dn_45	85.0	31.0	66.0	20.0	23.0	52.0	76.0	42.0	44.0	35.0	20.0	4.0	104.0	39.0	68.0	25.0	11.0	61.0	15.0	7.0	20.0	22.0	22.0	5.0	19.0	24.0	11.0	11.0	17.0	24.0	27.0	43.0	6.0	32.0	7.0	0.0	18.0	11.0	13.0	17.0	8.0	10.0	29.0	17.0	8.0	7.0	15.0	12.0	k__Bacteria; p__Armatimonadetes; c__0319-6E2; o__; f__; g__; s__
OTU_dn_2511	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__[Roseiflexales]; f__; g__; s__
206405	143.0	273.0	116.0	91.0	18.0	117.0	24.0	153.0	91.0	193.0	22.0	39.0	101.0	151.0	34.0	274.0	30.0	396.0	24.0	253.0	26.0	295.0	33.0	78.0	23.0	159.0	22.0	84.0	48.0	302.0	37.0	131.0	72.0	94.0	40.0	115.0	66.0	74.0	64.0	146.0	22.0	65.0	23.0	266.0	32.0	110.0	74.0	82.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__IS-44; f__; g__; s__
4345857	552.0	130.0	531.0	241.0	389.0	56.0	424.0	53.0	499.0	443.0	414.0	27.0	609.0	29.0	360.0	326.0	809.0	230.0	756.0	781.0	648.0	171.0	832.0	95.0	578.0	70.0	913.0	20.0	705.0	146.0	743.0	49.0	707.0	107.0	281.0	439.0	842.0	40.0	995.0	150.0	172.0	92.0	636.0	96.0	580.0	70.0	817.0	66.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
114049	314.0	143.0	321.0	23.0	21.0	57.0	240.0	100.0	23.0	3.0	11.0	2.0	459.0	2.0	246.0	15.0	64.0	79.0	58.0	26.0	36.0	17.0	58.0	5.0	61.0	23.0	64.0	5.0	44.0	54.0	52.0	65.0	40.0	24.0	17.0	24.0	45.0	6.0	45.0	0.0	1.0	3.0	110.0	20.0	68.0	13.0	45.0	132.0	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__; s__
679787	98.0	37.0	61.0	13.0	10.0	32.0	62.0	15.0	19.0	2.0	3.0	0.0	81.0	11.0	14.0	22.0	101.0	7.0	122.0	2.0	123.0	7.0	109.0	1.0	130.0	27.0	157.0	13.0	85.0	14.0	110.0	27.0	10.0	4.0	0.0	1.0	11.0	1.0	8.0	2.0	2.0	3.0	64.0	2.0	1.0	1.0	11.0	5.0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__
1053775	67.0	65.0	86.0	71.0	185.0	24.0	113.0	35.0	73.0	51.0	151.0	33.0	99.0	53.0	224.0	70.0	89.0	57.0	94.0	84.0	109.0	83.0	80.0	76.0	77.0	83.0	97.0	98.0	120.0	65.0	80.0	51.0	134.0	61.0	67.0	36.0	132.0	44.0	162.0	65.0	94.0	72.0	110.0	104.0	81.0	55.0	156.0	56.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__
OTU_dn_7	841.0	1.0	724.0	100.0	9.0	0.0	0.0	0.0	62.0	17.0	2.0	1.0	712.0	0.0	832.0	0.0	0.0	619.0	0.0	1.0	0.0	14.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	283.0	0.0	0.0	2.0	6.0	1.0	21.0	1.0	6.0	0.0	8.0	3.0	1.0	2.0	11.0	85.0	0.0	4.0	0.0	k__Bacteria; p__Bacteroidetes; c__BME43; o__; f__; g__; s__
1124030	25.0	71.0	15.0	131.0	52.0	264.0	33.0	218.0	28.0	234.0	37.0	120.0	15.0	107.0	71.0	134.0	37.0	76.0	47.0	35.0	54.0	211.0	35.0	114.0	44.0	281.0	38.0	173.0	14.0	127.0	42.0	187.0	9.0	124.0	28.0	91.0	13.0	142.0	11.0	197.0	24.0	174.0	53.0	83.0	10.0	134.0	15.0	153.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
248002	1.0	2.0	7.0	2.0	0.0	2.0	0.0	3.0	1.0	4.0	0.0	1.0	4.0	5.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	3.0	0.0	2.0	0.0	1.0	1.0	2.0	0.0	1.0	0.0	5.0	k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__C114; f__; g__; s__
545997	677.0	60.0	574.0	308.0	110.0	34.0	553.0	51.0	377.0	30.0	135.0	12.0	592.0	66.0	297.0	115.0	108.0	133.0	93.0	125.0	119.0	122.0	111.0	95.0	93.0	161.0	122.0	13.0	129.0	165.0	132.0	68.0	141.0	39.0	102.0	89.0	217.0	58.0	153.0	101.0	238.0	53.0	1180.0	99.0	167.0	21.0	207.0	12.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
570552	3.0	2.0	1.0	4.0	4.0	1.0	0.0	5.0	2.0	0.0	6.0	2.0	3.0	0.0	3.0	1.0	1.0	1.0	0.0	4.0	0.0	3.0	1.0	1.0	0.0	4.0	9.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	8.0	3.0	1.0	4.0	2.0	10.0	6.0	10.0	1.0	3.0	4.0	9.0	1.0	3.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Agromyces; s__
1140995	20.0	5.0	8.0	0.0	0.0	2.0	14.0	5.0	1.0	1.0	0.0	0.0	7.0	1.0	4.0	3.0	3.0	0.0	7.0	0.0	12.0	1.0	1.0	0.0	12.0	5.0	15.0	1.0	1.0	1.0	8.0	7.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	2.0	0.0	0.0	k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__; g__; s__
OTU_dn_167	11.0	7.0	7.0	2.0	5.0	9.0	4.0	6.0	0.0	2.0	7.0	4.0	14.0	11.0	34.0	26.0	9.0	12.0	1.0	4.0	5.0	0.0	10.0	7.0	17.0	23.0	4.0	4.0	18.0	8.0	19.0	4.0	6.0	4.0	2.0	0.0	3.0	6.0	1.0	6.0	4.0	16.0	9.0	0.0	0.0	7.0	4.0	15.0	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Planctomyces; s__
148550	225.0	48.0	196.0	93.0	44.0	16.0	367.0	20.0	180.0	13.0	41.0	9.0	204.0	26.0	99.0	28.0	63.0	40.0	88.0	37.0	88.0	51.0	67.0	27.0	85.0	60.0	77.0	3.0	112.0	50.0	75.0	26.0	43.0	14.0	33.0	17.0	49.0	10.0	53.0	45.0	68.0	19.0	356.0	48.0	38.0	1.0	41.0	2.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
OTU_dn_289	6.0	3.0	7.0	2.0	3.0	9.0	169.0	25.0	0.0	0.0	5.0	0.0	17.0	3.0	0.0	2.0	1.0	0.0	2.0	0.0	6.0	0.0	1.0	0.0	4.0	4.0	2.0	19.0	6.0	0.0	0.0	4.0	2.0	0.0	3.0	0.0	0.0	1.0	0.0	6.0	3.0	3.0	30.0	2.0	1.0	0.0	5.0	1.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__Pleomorphomonas; s__
606965	194.0	2.0	163.0	0.0	79.0	20.0	58.0	27.0	1.0	2.0	106.0	0.0	170.0	17.0	1.0	8.0	2.0	3.0	2.0	10.0	0.0	0.0	0.0	56.0	1.0	58.0	6.0	0.0	2.0	31.0	1.0	41.0	16.0	16.0	7.0	1.0	34.0	51.0	29.0	198.0	162.0	57.0	823.0	5.0	13.0	21.0	28.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
225970	3.0	10.0	1.0	0.0	4.0	1.0	1.0	0.0	0.0	1.0	1.0	9.0	1.0	3.0	0.0	17.0	0.0	5.0	2.0	10.0	0.0	2.0	0.0	5.0	7.0	0.0	0.0	2.0	0.0	5.0	4.0	4.0	4.0	12.0	3.0	10.0	2.0	3.0	1.0	0.0	1.0	1.0	2.0	1.0	0.0	2.0	2.0	2.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__
255928	5.0	1.0	11.0	7.0	7.0	1.0	5.0	0.0	10.0	6.0	5.0	0.0	7.0	4.0	6.0	0.0	1.0	4.0	1.0	3.0	1.0	0.0	1.0	0.0	0.0	4.0	4.0	21.0	2.0	6.0	4.0	5.0	16.0	3.0	4.0	0.0	15.0	2.0	15.0	5.0	5.0	0.0	4.0	2.0	6.0	1.0	10.0	2.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__
835594	215.0	106.0	217.0	232.0	194.0	231.0	110.0	287.0	89.0	83.0	150.0	98.0	262.0	162.0	193.0	85.0	43.0	157.0	48.0	91.0	58.0	125.0	33.0	92.0	45.0	110.0	66.0	305.0	45.0	283.0	43.0	291.0	130.0	180.0	187.0	152.0	148.0	169.0	148.0	147.0	187.0	123.0	82.0	129.0	357.0	162.0	169.0	219.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Balneimonas; s__
696181	37.0	12.0	53.0	15.0	28.0	36.0	25.0	33.0	61.0	20.0	11.0	32.0	51.0	4.0	43.0	11.0	15.0	36.0	19.0	12.0	12.0	37.0	16.0	36.0	16.0	52.0	21.0	65.0	17.0	16.0	19.0	36.0	29.0	42.0	23.0	31.0	19.0	19.0	27.0	23.0	20.0	16.0	42.0	10.0	44.0	30.0	22.0	55.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__
552687	36.0	45.0	21.0	14.0	78.0	49.0	66.0	73.0	75.0	75.0	63.0	43.0	31.0	34.0	8.0	54.0	47.0	38.0	34.0	43.0	43.0	66.0	48.0	70.0	32.0	74.0	39.0	71.0	35.0	29.0	59.0	48.0	33.0	63.0	79.0	32.0	31.0	59.0	40.0	75.0	42.0	63.0	86.0	58.0	46.0	77.0	34.0	59.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__wittichii
OTU_dn_185	54.0	0.0	39.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	89.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__
776909	15.0	14.0	6.0	34.0	25.0	45.0	71.0	37.0	10.0	6.0	20.0	88.0	8.0	70.0	66.0	32.0	60.0	39.0	42.0	12.0	55.0	19.0	44.0	35.0	51.0	46.0	52.0	126.0	69.0	12.0	35.0	38.0	36.0	47.0	24.0	31.0	24.0	33.0	41.0	15.0	7.0	29.0	9.0	23.0	46.0	69.0	46.0	41.0	k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__; g__; s__
812714	114.0	97.0	136.0	185.0	241.0	83.0	113.0	194.0	93.0	141.0	235.0	164.0	194.0	176.0	168.0	172.0	126.0	161.0	115.0	124.0	106.0	113.0	93.0	137.0	103.0	172.0	139.0	247.0	86.0	99.0	123.0	133.0	254.0	191.0	216.0	147.0	288.0	69.0	300.0	107.0	186.0	91.0	71.0	157.0	315.0	273.0	326.0	191.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__; s__
113599	149.0	64.0	149.0	90.0	186.0	96.0	244.0	86.0	171.0	83.0	181.0	108.0	204.0	154.0	232.0	119.0	108.0	47.0	91.0	56.0	148.0	46.0	100.0	56.0	151.0	86.0	209.0	66.0	180.0	61.0	106.0	139.0	152.0	39.0	86.0	46.0	227.0	55.0	156.0	63.0	164.0	79.0	235.0	46.0	69.0	118.0	175.0	104.0	k__Bacteria; p__Chloroflexi; c__TK10; o__AKYG885; f__Dolo_23; g__; s__
OTU_dn_82	25.0	59.0	25.0	0.0	12.0	1.0	28.0	7.0	15.0	12.0	9.0	2.0	30.0	1.0	71.0	1.0	9.0	10.0	6.0	24.0	11.0	14.0	10.0	11.0	0.0	3.0	0.0	1.0	0.0	32.0	3.0	9.0	33.0	10.0	8.0	6.0	29.0	5.0	24.0	26.0	14.0	14.0	1.0	3.0	2.0	2.0	21.0	0.0	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__; s__
553653	11.0	35.0	14.0	53.0	41.0	24.0	51.0	30.0	34.0	21.0	46.0	41.0	19.0	36.0	70.0	32.0	16.0	37.0	15.0	8.0	20.0	21.0	22.0	28.0	16.0	42.0	18.0	43.0	12.0	14.0	19.0	66.0	6.0	45.0	161.0	70.0	9.0	28.0	10.0	38.0	97.0	24.0	35.0	49.0	92.0	102.0	16.0	57.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
1109633	16.0	15.0	12.0	13.0	20.0	17.0	1.0	7.0	29.0	16.0	12.0	13.0	11.0	7.0	42.0	4.0	21.0	7.0	20.0	4.0	14.0	16.0	18.0	6.0	20.0	7.0	14.0	5.0	23.0	7.0	7.0	9.0	17.0	7.0	16.0	9.0	10.0	16.0	8.0	15.0	7.0	19.0	25.0	8.0	24.0	11.0	15.0	16.0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__; g__; s__
562177	47.0	154.0	55.0	45.0	60.0	29.0	46.0	30.0	40.0	29.0	62.0	56.0	61.0	10.0	45.0	26.0	19.0	78.0	32.0	48.0	34.0	106.0	27.0	98.0	16.0	205.0	3.0	34.0	15.0	94.0	25.0	61.0	23.0	97.0	68.0	77.0	18.0	153.0	13.0	153.0	51.0	106.0	35.0	35.0	64.0	169.0	21.0	105.0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__
307934	33.0	19.0	79.0	43.0	27.0	10.0	21.0	21.0	41.0	16.0	33.0	43.0	52.0	36.0	68.0	53.0	56.0	59.0	50.0	18.0	62.0	23.0	66.0	32.0	55.0	19.0	58.0	35.0	52.0	48.0	59.0	40.0	37.0	109.0	30.0	31.0	34.0	12.0	40.0	13.0	28.0	17.0	32.0	31.0	40.0	105.0	43.0	27.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Brevibacillus; s__
4371107	27.0	7.0	30.0	8.0	66.0	2.0	10.0	3.0	30.0	5.0	87.0	3.0	33.0	53.0	100.0	14.0	67.0	24.0	62.0	14.0	66.0	6.0	74.0	12.0	79.0	5.0	93.0	4.0	110.0	6.0	35.0	11.0	30.0	29.0	21.0	6.0	28.0	11.0	30.0	6.0	28.0	4.0	53.0	15.0	36.0	33.0	26.0	6.0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales
937372	1554.0	800.0	1431.0	1102.0	636.0	927.0	717.0	759.0	1845.0	678.0	668.0	996.0	1668.0	1743.0	740.0	1329.0	730.0	850.0	764.0	623.0	849.0	816.0	699.0	717.0	722.0	1004.0	906.0	957.0	813.0	1093.0	759.0	1255.0	1307.0	1203.0	1304.0	760.0	1402.0	622.0	1166.0	759.0	860.0	649.0	878.0	814.0	1021.0	1191.0	1387.0	954.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
237992	27.0	14.0	43.0	1.0	3.0	6.0	14.0	12.0	6.0	9.0	4.0	3.0	39.0	9.0	1.0	14.0	13.0	13.0	6.0	10.0	3.0	5.0	6.0	8.0	14.0	5.0	1.0	13.0	14.0	11.0	5.0	2.0	3.0	10.0	3.0	2.0	4.0	4.0	7.0	6.0	4.0	9.0	20.0	7.0	2.0	2.0	11.0	21.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__
4370717	442.0	236.0	353.0	268.0	452.0	195.0	81.0	245.0	336.0	232.0	480.0	497.0	420.0	252.0	166.0	277.0	208.0	170.0	261.0	308.0	297.0	234.0	183.0	411.0	289.0	391.0	282.0	457.0	208.0	390.0	229.0	259.0	468.0	260.0	448.0	509.0	548.0	243.0	390.0	232.0	231.0	233.0	244.0	92.0	598.0	414.0	512.0	208.0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__
4400134	4.0	0.0	0.0	5.0	17.0	4.0	2.0	0.0	17.0	1.0	25.0	3.0	3.0	0.0	1.0	6.0	0.0	2.0	0.0	4.0	4.0	5.0	0.0	7.0	0.0	12.0	0.0	8.0	0.0	3.0	0.0	4.0	1.0	12.0	27.0	8.0	4.0	8.0	0.0	11.0	17.0	19.0	12.0	20.0	16.0	6.0	0.0	15.0	k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae
555571	41.0	49.0	20.0	57.0	36.0	48.0	26.0	48.0	32.0	29.0	41.0	82.0	27.0	62.0	17.0	22.0	16.0	43.0	16.0	29.0	7.0	49.0	18.0	58.0	25.0	45.0	20.0	39.0	22.0	39.0	20.0	45.0	19.0	56.0	17.0	54.0	24.0	58.0	26.0	51.0	61.0	55.0	36.0	38.0	50.0	73.0	22.0	93.0	k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__
OTU_dn_510	8.0	2.0	6.0	1.0	0.0	0.0	0.0	0.0	3.0	14.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	9.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	10.0	k__Archaea; p__[Parvarchaeota]; c__[Parvarchaea]; o__YLA114; f__; g__; s__
OTU_dn_7230	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	k__Bacteria; p__Chloroflexi; c__TK10
279206	31.0	36.0	37.0	19.0	61.0	42.0	57.0	56.0	82.0	36.0	58.0	27.0	62.0	41.0	132.0	47.0	92.0	41.0	80.0	20.0	74.0	31.0	104.0	33.0	75.0	23.0	103.0	21.0	150.0	13.0	67.0	57.0	34.0	29.0	20.0	12.0	32.0	19.0	40.0	35.0	66.0	27.0	46.0	17.0	29.0	19.0	28.0	36.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__; s__
269875	17.0	19.0	15.0	4.0	12.0	30.0	45.0	24.0	15.0	7.0	7.0	6.0	11.0	4.0	42.0	3.0	14.0	7.0	8.0	2.0	9.0	3.0	15.0	2.0	21.0	8.0	27.0	4.0	18.0	7.0	16.0	37.0	2.0	11.0	5.0	0.0	6.0	8.0	1.0	7.0	18.0	3.0	22.0	7.0	2.0	4.0	6.0	22.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__; s__
699760	943.0	157.0	922.0	669.0	688.0	541.0	306.0	534.0	232.0	369.0	663.0	831.0	1080.0	520.0	522.0	372.0	500.0	379.0	540.0	237.0	726.0	385.0	412.0	438.0	505.0	413.0	495.0	891.0	454.0	560.0	521.0	659.0	390.0	421.0	492.0	612.0	468.0	334.0	433.0	255.0	444.0	337.0	371.0	334.0	665.0	724.0	474.0	437.0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Adhaeribacter; s__
573270	84.0	196.0	86.0	275.0	146.0	63.0	100.0	76.0	74.0	79.0	147.0	248.0	100.0	156.0	218.0	485.0	137.0	178.0	154.0	295.0	187.0	135.0	152.0	305.0	163.0	164.0	227.0	196.0	155.0	159.0	138.0	111.0	293.0	465.0	120.0	107.0	293.0	105.0	254.0	93.0	56.0	143.0	57.0	115.0	169.0	270.0	300.0	230.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
OTU_dn_325	14.0	1.0	7.0	6.0	11.0	2.0	35.0	0.0	11.0	1.0	8.0	2.0	18.0	5.0	11.0	3.0	11.0	3.0	15.0	0.0	29.0	0.0	6.0	0.0	17.0	2.0	24.0	7.0	13.0	2.0	20.0	3.0	5.0	0.0	6.0	0.0	4.0	0.0	6.0	2.0	32.0	3.0	10.0	1.0	9.0	0.0	4.0	2.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__OM27; g__; s__
OTU_dn_1	1285.0	72.0	1190.0	10.0	463.0	26.0	291.0	9.0	42.0	16.0	420.0	9.0	1705.0	5.0	411.0	84.0	276.0	57.0	212.0	28.0	253.0	34.0	261.0	31.0	272.0	31.0	269.0	34.0	285.0	397.0	261.0	19.0	285.0	49.0	263.0	120.0	306.0	15.0	336.0	45.0	120.0	14.0	320.0	62.0	692.0	27.0	333.0	22.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
101320	15.0	3.0	12.0	16.0	20.0	9.0	24.0	11.0	10.0	6.0	7.0	6.0	9.0	15.0	8.0	9.0	8.0	17.0	21.0	14.0	28.0	10.0	21.0	24.0	22.0	8.0	14.0	17.0	11.0	4.0	21.0	17.0	35.0	17.0	23.0	27.0	38.0	41.0	52.0	52.0	19.0	6.0	8.0	5.0	11.0	26.0	36.0	7.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Lysobacter; s__
550842	158.0	133.0	116.0	185.0	261.0	149.0	243.0	127.0	278.0	269.0	243.0	147.0	152.0	197.0	374.0	362.0	283.0	189.0	230.0	214.0	245.0	254.0	227.0	98.0	213.0	195.0	246.0	221.0	248.0	152.0	248.0	175.0	180.0	171.0	191.0	153.0	224.0	220.0	185.0	198.0	232.0	168.0	238.0	159.0	249.0	148.0	232.0	178.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__
28670	23.0	6.0	29.0	3.0	15.0	5.0	12.0	5.0	14.0	5.0	28.0	52.0	49.0	2.0	14.0	5.0	2.0	4.0	4.0	4.0	6.0	10.0	0.0	9.0	2.0	8.0	1.0	9.0	10.0	14.0	4.0	7.0	13.0	15.0	18.0	28.0	7.0	8.0	15.0	13.0	9.0	12.0	12.0	9.0	21.0	53.0	18.0	6.0	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__
OTU_dn_389	4.0	2.0	2.0	0.0	3.0	3.0	18.0	4.0	5.0	3.0	0.0	1.0	3.0	12.0	4.0	2.0	4.0	2.0	8.0	0.0	1.0	3.0	4.0	0.0	9.0	1.0	17.0	5.0	5.0	0.0	1.0	4.0	1.0	1.0	1.0	0.0	3.0	0.0	1.0	1.0	1.0	0.0	4.0	1.0	4.0	1.0	4.0	4.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__OM27; g__; s__
1108726	194.0	14.0	191.0	73.0	78.0	11.0	83.0	10.0	265.0	43.0	118.0	12.0	249.0	7.0	81.0	15.0	5.0	35.0	19.0	123.0	15.0	38.0	14.0	105.0	4.0	54.0	25.0	33.0	14.0	133.0	14.0	17.0	174.0	11.0	86.0	85.0	185.0	65.0	149.0	65.0	143.0	26.0	189.0	120.0	131.0	8.0	178.0	5.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
OTU_dn_1725	142.0	6.0	144.0	16.0	25.0	13.0	195.0	7.0	13.0	0.0	26.0	33.0	155.0	0.0	4.0	6.0	15.0	6.0	19.0	120.0	20.0	8.0	20.0	38.0	13.0	30.0	8.0	2.0	9.0	45.0	17.0	4.0	104.0	31.0	5.0	29.0	91.0	5.0	90.0	24.0	12.0	8.0	190.0	3.0	10.0	5.0	94.0	10.0	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Prosthecobacter; s__
